comment_id,author,text,like_count,published_at
Ugw_PKDEJDtzLEYqCad4AaABAg,@Kairos234,WE'RE WITNESSING HISTORY WITH THIS ONE🔥,485,2025-08-31T16:57:47Z
UgyuMDSQ7dMx7f-C70h4AaABAg,@weirdchris3560,I sure hope they let the animators see their families this time around,0,2025-08-31T16:57:44Z
Ugw3_qe-xlto32746D94AaABAg,@Finestvisuals,Yeaa babyyyyy ❤️‍🔥,0,2025-08-31T16:57:43Z
Ugz-wW2gSacti9TJU8N4AaABAg,@FootballDash-c3b,Under 24 hour people claim spot🎉🎉🎉🎉,0,2025-08-31T16:57:42Z
UgyNE-wAUrgmSntqpBh4AaABAg,@Solar-2006,The thumbnail made it look like cgi and my heart sunk but this actually looks insane and I cant wait to watch it,0,2025-08-31T16:57:41Z
Ugw4u9Xq_u3iW28Okrd4AaABAg,@That_Ramdom,Frieren and JJK in the same month 🔥,0,2025-08-31T16:57:40Z
Ugw8blb2mz2xh7XGIWR4AaABAg,@Prabha-rp9uv,Telugu people's 👍,0,2025-08-31T16:57:39Z
UgxSGtoWdz8VlTxKaCN4AaABAg,@ronnie-fndk90,Hakari?,0,2025-08-31T16:57:34Z
UgzybA48es-zZVhgGwp4AaABAg,@TsukasaWOOSHYugi-x7c,"Man, I'm psyched for the angst-
*COUGH*
Action.",0,2025-08-31T16:57:32Z
UgzGcukBOGcxeE5Ee_R4AaABAg,@lolitsjames,Bro i didnt even finish season 1 😭,0,2025-08-31T16:57:30Z
UgzkloQk_wcv51Rr0it4AaABAg,@Urfavvvkell,When did we start saying Jujutsu Kaisen was overated,0,2025-08-31T16:57:30Z
UgwTHdBpjdnUsqyK3Sd4AaABAg,@Wannabeyourso,Whenever trailer come always bet on crunchyroll,0,2025-08-31T16:57:29Z
Ugx3oi2D5GYX12EWvWJ4AaABAg,@JakeS.,We never forgot avout you jjk even after 2 years ❤,0,2025-08-31T16:57:28Z
Ugxt11A41ue_Sq5e89l4AaABAg,@SBD717,"Finally, the real protagonist, Yuta the goat.",0,2025-08-31T16:57:26Z
Ugy2FI5WZ5hje5IlKIp4AaABAg,@BlackEnigma79,The music is insane,0,2025-08-31T16:57:26Z
UgyCPKAfFh5VxVxWkgx4AaABAg,@ferro_drip189,About damn time we got a trailer,0,2025-08-31T16:57:24Z
Ugx5eBA7rcAdGccSYXZ4AaABAg,@XX_nova-h4c7i,i cant wait to see my glorious kitkat again,6,2025-08-31T16:57:24Z
UgyGqUZt-2J0jw7Lj0h4AaABAg,@dirtvb,My glorious goat Yuta Okkotsu is the thumbnail 🥹🥹,0,2025-08-31T16:57:19Z
UgywWdtxgyEMUiYNqrZ4AaABAg,@Ryomeneren-q2o,Im truly early,0,2025-08-31T16:57:18Z
UgxpIqp20T0sKwqTMmd4AaABAg,@icolojo,IS THIS A COMEBACK FROM MAPPA,1,2025-08-31T16:57:17Z
Ugw4FsuFWIhz2N5IvSZ4AaABAg,@FV.Shorts_15,Its about damn time,0,2025-08-31T16:57:16Z
UgxF6kdiSz2nmv_rurR4AaABAg,@gamerbros-fs1tx,culling game.,0,2025-08-31T16:57:14Z
UgyAcAkWsSqzpQPGgGJ4AaABAg,@HelloImASaiyanRaisedOnEarth,Can't wait.,0,2025-08-31T16:57:12Z
Ugy6K-8v8OFaWB0KlS94AaABAg,@C_moi_pas_Toi,WE ARE BACK 🔥🔥🔥🔥🔥,0,2025-08-31T16:57:11Z
UgwEfxPHiBMkzr0_CGB4AaABAg,@KnarlyZ,Oh boy here we go,0,2025-08-31T16:57:10Z
UgwhJpDbwL7kNWX218V4AaABAg,@KiraYoshikageBTD,Lobotomy Kaisen is so back,1,2025-08-31T16:57:10Z
Ugzd5swJ9k1QzJ-EDPd4AaABAg,@JakeS.,HEAVENLY RESTRICTION MAKI ANIMATEDDD,0,2025-08-31T16:57:07Z
Ugyzem0lIxcvdKzyUUR4AaABAg,@jaughnekow,let’s f go!!!!!,0,2025-08-31T16:57:07Z
Ugzkr_Yyd2sl3-JFJgd4AaABAg,@albus_xd9633,Se viene lo mejor (mami maki),0,2025-08-31T16:57:05Z
UgyiRRR7GedUATQsk_x4AaABAg,@Dan_Naruto,Finally.... mappa have said something.....nice nice.... now we wait,0,2025-08-31T16:57:03Z
UgwWk5-79xFCPV9yAXV4AaABAg,@carlwilliams6134,Finally,0,2025-08-31T16:57:02Z
UgzSxOaYKkn5nwhDM-p4AaABAg,@PancozSama,Wish all the best for the Chinese animation industry!,1,2025-08-31T16:57:01Z
UgxXs5IK56uy-Gr2HYB4AaABAg,@thefateedge7268,Decadência a animação não evoluiu me parece igual a segunda temporada triste em saber q está indo em direção a Nanatsu no taizai,0,2025-08-31T16:57:01Z
UgyU9RFX7lQO2lOEZWN4AaABAg,@mariefmsr,Maki crash out episode is gonna be 11/10 for sure🔥,1,2025-08-31T16:56:59Z
Ugxe1e9nIF-TVQDd9ZR4AaABAg,@manmarloneyes4,Yes,0,2025-08-31T16:56:59Z
UgwGIYmi21NYbJ3HJpl4AaABAg,@ImNotAWall,Yooo,0,2025-08-31T16:56:58Z
UgxCkGT5FfZt-xuxnJR4AaABAg,@kidkatanatv,Hakari is coming...I can smell it,1,2025-08-31T16:56:54Z
UgyD9ywqoPpWoCFCBGd4AaABAg,@boyfriend453-bt6gj,Vas a caer Gege,0,2025-08-31T16:56:54Z
Ugxum4QowtVvjgjq1PJ4AaABAg,@akasen7420,The protagonist of 2nd years vs The protagonist of 1st years,1,2025-08-31T16:56:51Z
UgydT-QY0ALwi40ODF54AaABAg,@behem05,LES GOOO MAH BOI YUTAA,0,2025-08-31T16:56:48Z
UgwaqlHh7Q_YPLbdFZx4AaABAg,@radaspunse7798,We literally got JJK season 3 trailer before OPM season 3 trailer 💀,1586,2025-08-31T16:56:47Z
Ugzq0T3rLRrx4CHxtux4AaABAg,@DstruggleOng,"HAPPIEST DAY OF MY LIFE, BEFORE MY BIRTHDAY TOO. THANK YOU GEGE",0,2025-08-31T16:56:44Z
UgyuDj6jY9ec_rF0zoR4AaABAg,@mr.senpai369,yarrama bak seni biz abi yaptık lan,1,2025-08-31T16:56:44Z
UgwfEjIvlnyjy3yvK7t4AaABAg,@zurpokey,yasssssssssssssssssss,0,2025-08-31T16:56:42Z
UgysNQADLwvkecvr-hx4AaABAg,@Fas-s7p,Yeaaaaàah baby!!,0,2025-08-31T16:56:42Z
Ugyx3zpQnT_6Py515Jt4AaABAg,@JJmangotswag,Rest In Peace to all the souls that wont get to see JJK season 3,1,2025-08-31T16:56:39Z
Ugx2y9DBBEW_VBdAp1B4AaABAg,@JakeS.,OH MY GOD WERE SO BACK,0,2025-08-31T16:56:34Z
UgxR3WlAmW0MAjsKCUJ4AaABAg,@Ace10_25,So peak ❤️‍🩹😭,0,2025-08-31T16:56:33Z
Ugx5pzd1zH02rWumOCd4AaABAg,@Deepanshyu,"It's Gonna be Fu,n Brother 🔥",0,2025-08-31T16:56:30Z
UgyzN9WQe9UveTraxK54AaABAg,@xxsayabetoxx,Yesss can't wait!!,0,2025-08-31T16:56:29Z
UgwrO4pQGV7MBoa3w8t4AaABAg,@dxk1368,Maki bout to slaughter every single of one of these frauds,1,2025-08-31T16:56:28Z
UgwfmuU159K8J40ynYt4AaABAg,@HlioSonic,Peak is finally back,0,2025-08-31T16:56:26Z
UgyHkworQDRyB5mOTmt4AaABAg,@o-Imagine,I SEE MAKI. I SEE YUTA. I SEE CHOSO VS NAOYA 🙏,0,2025-08-31T16:56:24Z
Ugz-ZibaOeNOvljpWZ94AaABAg,@hreetmondal8084,No Improvement in Animation Style...Happy but Disappointed...,1,2025-08-31T16:56:24Z
UgxwvPn2PTLNPyUEkyd4AaABAg,@Alexuuul,GOJOOO COMEBACKKK,0,2025-08-31T16:56:23Z
Ugym-7_OZlabzquansl4AaABAg,@Nothsa23.,WE as in EVERYONE IN JJK are back,0,2025-08-31T16:56:22Z
UgyeE1V0dF4Ug-p68WR4AaABAg,@Bullet0007,Gojo❤❤❤❤,0,2025-08-31T16:56:17Z
UgyFk6-JuH7qcZI_GwF4AaABAg,@PenwellYT,PEAK IS BACK,0,2025-08-31T16:56:15Z
UgwlZqlu2gLh2_UVsnt4AaABAg,@CezzarrOff,Cinema,0,2025-08-31T16:56:14Z
UgyaY5XtBwET7IttXqN4AaABAg,@Me_the_local_idiot,So hyped.,0,2025-08-31T16:56:11Z
UgxW8AShS-2ahzvfXBl4AaABAg,@mjxstarff,Finnally they listened me ❤❤,0,2025-08-31T16:56:09Z
UgwO9W2Cn0PuU8rEAJp4AaABAg,@monke9-1-1,YEAHHHH,0,2025-08-31T16:56:08Z
UgyOItiTyCcZYgh4X3B4AaABAg,@ysiwak,Hi,0,2025-08-31T16:56:08Z
UgyHKFolEBlgaTCyHLl4AaABAg,@leyna1221,yes more pain !,0,2025-08-31T16:56:06Z
Ugw5rRL7EMf7XtNzGAV4AaABAg,@akshatsharma5202,Gojo will die. Now enjoy,0,2025-08-31T16:56:05Z
UgwHHaiXVmlW3C9xPAR4AaABAg,@IndraOtsutsuki-nl5rx,JACKPOOOOOOOOOTTTTTTTT!!!!!!!!!!!!!!!!,0,2025-08-31T16:56:04Z
Ugy0nunMacOlc4DlELl4AaABAg,@jessika4846,LETS GOOOOO,0,2025-08-31T16:56:01Z
UgwmLV8ILJu22M5_9PB4AaABAg,@SHIKERIN_FC,The animation :📊📈📈,0,2025-08-31T16:56:00Z
Ugx-ZYnmfCB0dX_qsPB4AaABAg,@carlstypicallife,"THIS IS ABOUT TO BE SO FIRE, I CAN FEEL IT💔✌️",0,2025-08-31T16:56:00Z
UgwoQgvQp1OFZ8k2O314AaABAg,@Potatotop_,Peak is back,0,2025-08-31T16:56:00Z
UgzvUljlrTAtlnbTaU14AaABAg,@SSk-np4nu,Quality low,0,2025-08-31T16:55:52Z
Ugyo5bjX6P1F2XYuQ694AaABAg,@vaibhavprabhu1492,FINALLY MAKI BECOMES TOJI 2.0,0,2025-08-31T16:55:49Z
UgxDmZb92i8onUtRPKJ4AaABAg,@IanPereyra12,Quee,0,2025-08-31T16:55:49Z
UgzjhrmsLrJMFht84nl4AaABAg,@heartsforyuuji,LET'S GOOOOOOOOOO,0,2025-08-31T16:55:48Z
Ugx35GEyTPx-d6igKy94AaABAg,@olandolafrance,2026 might be peak 😭🙏🏿,0,2025-08-31T16:55:46Z
UgxG5PPMqag3qfTvuAN4AaABAg,@xenovina3386,We getting maki to whoop the zennin 🗣️ 🔥,0,2025-08-31T16:55:44Z
UgyqKz-weyJNocQonPl4AaABAg,@BiII2Last,took you a damn while,0,2025-08-31T16:55:42Z
UgyWVYsNMWub01IoJcV4AaABAg,@animefootball-oe1cy,Where is my boy hakari at,0,2025-08-31T16:55:42Z
UgwLaWNcEtW3OXxKR0d4AaABAg,@rachelnicdao2211,I guess i should catch up and watch S1 and S2,0,2025-08-31T16:55:40Z
